base,CRT2,CRT2+Core4,Core4,CRT2+Core3,Core3,CRT2+BCRT(all),NFC
comm,0.08331844382689843,0.2025925466148105,0.2627188857217969,0.19501356041652174,0.25800522604353787,0.16177012939372368,-0.04253826597574808
quantity,0.08551076711263157,0.20147481722291358,0.2587359417355823,0.1548610763489708,0.18394379650771644,0.20086647742129143,-0.1218687197021343
tone_neg,-0.1530743614533133,-0.18603980909294007,-0.1681115880415156,-0.20853591189196377,-0.20665244690321505,-0.22722880144426416,-0.08586901045157949
emo_sad,-0.21151208813093322,-0.22631508181517884,-0.180337129064249,-0.2213554629807645,-0.16629438149243084,-0.17483781326673864,-0.08093660413927477
Period,0.35405773619577235,0.23543329319679887,0.059568279406709494,0.24208968025499758,0.04903856032937842,0.2353494884300023,0.0955610277249453
visual,0.1351489899216052,0.23830311955353617,0.2735435226715079,0.18185931182243542,0.1784240850899922,0.1873206316690114,0.20613824705338152
polite,-0.29138909380393285,-0.2640318227166276,-0.16775839809287327,-0.26672539991440314,-0.16084875605759955,-0.1935756604354989,-0.06459868003658979
leisure,-0.14998502124773055,-0.22687010305979782,-0.24005248666337847,-0.19814963209496675,-0.19145220688596085,-0.12853572526946025,-0.3096141257219334
article,-0.1715130463867128,-0.22537552609949232,-0.2169611641790578,-0.22923682994361522,-0.2236562054218077,-0.2581145772041201,0.15782175132135062
friend,-0.16797330861723392,-0.27585827451290246,-0.30564177013193766,-0.24631272917597485,-0.2579747176138093,-0.2213720887123143,-0.14327521220212855
want,0.1727118954467502,0.2578175751364611,0.27063215985135336,0.2664863046087861,0.2888643552036431,0.224556620002734,-0.16146774819501422
adj,0.19434863987153123,0.3180903675538636,0.35180328337602645,0.28258900766126227,0.29419719720656395,0.2558755584437173,-0.05575205968754716
focuspresent,0.16840934350210243,0.2982502910070948,0.3430602796979084,0.2565868099677464,0.2758462672295408,0.25165259394565465,-0.1959658773212109
tech,0.3578908355451146,0.3602461824056066,0.26679873572865487,0.350408227317929,0.23828325076802187,0.3038396479746561,-0.009053033597810305
Culture,0.3773525921618713,0.3711211018769985,0.2665816788918078,0.36159919580745586,0.23720058015383857,0.33411087489206576,-0.030842239802763738
bcrt4_total,0.38543121570661937,0.5789540199373748,0.6054826545028512,0.6054225834536352,0.6578778829110536,0.4962248427408399,-0.14222352967695212
bcrt6_total,0.5388119196507423,0.8442296543143645,0.9047058675900963,0.8149182115283554,0.8642775642946494,0.9104528991641867,-0.09398135156993803
combined10_total,0.8390010572989195,0.9636177892872253,0.8224559043028279,0.9505959115961378,0.7846691613626123,1.0,0.0588023049854873
