dataset,family,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
full,TimeFocus,focuspresent,crt2_total,crt2_total,-0.005280809615329358,0.032523227489144914,-0.06902633549405339,0.05846471626339468,0.8710141750419649,binomial_cluster,477,-0.16237040487731122,0.8710141750419649,False
full,TimeFocus,focuspresent,bcrt_core3,bcrt_core3_total,0.05798104582142872,0.031229187498691434,-0.003228161676006494,0.11919025331886393,0.06336381531452728,binomial_cluster,477,1.85662998193143,0.12672763062905457,False
full,TimeFocus,focuspresent,bcrt_core4,bcrt_core4_total,0.06647627895103299,0.024811918769644767,0.01784491816252925,0.11510763973953672,0.0073796646006237384,binomial_cluster,477,2.679207503788903,0.014759329201247477,True
full,TimeFocus,focuspresent,crt2_plus_core3,crt2_plus_core3_total,0.020117725874477136,0.021145548109689133,-0.021327548420513567,0.061563000169467835,0.34140492632357555,binomial_cluster,477,0.9513929726540862,0.6828098526471511,False
full,TimeFocus,focuspresent,crt2_plus_core4,crt2_plus_core4_total,0.028224816598622235,0.018052888513047028,-0.007158844886949942,0.06360847808419441,0.11794642222437036,binomial_cluster,477,1.5634515539285494,0.23589284444874073,False
full,Motivation,want,crt2_total,crt2_total,0.03818783434938519,0.08852317054993884,-0.13531757992849494,0.21169324862726532,0.6661862668072465,binomial_cluster,477,0.43138800962672447,0.6661862668072465,False
full,Motivation,want,bcrt_core3,bcrt_core3_total,0.16683711746157612,0.08646550952287783,-0.0026352812032644224,0.3363095161264167,0.05366607066232511,binomial_cluster,477,1.9295221688068909,0.10733214132465022,False
full,Motivation,want,bcrt_core4,bcrt_core4_total,0.15814223508081665,0.06946379705521019,0.021993192852604676,0.2942912773090286,0.022809301420367915,binomial_cluster,477,2.276613743920799,0.04561860284073583,True
full,Motivation,want,crt2_plus_core3,crt2_plus_core3_total,0.07974943732017048,0.05516902444985954,-0.028381850601554223,0.1878807252418952,0.14830420194428617,binomial_cluster,477,1.4455473540709585,0.29660840388857235,False
full,Motivation,want,crt2_plus_core4,crt2_plus_core4_total,0.08353454696389362,0.04860724045339832,-0.011735644324767092,0.17880473825255433,0.0856941912230726,binomial_cluster,477,1.7185618065271877,0.1713883824461452,False
full,Motivation,risk,crt2_total,crt2_total,-0.07340208023581637,0.06862947403369676,-0.20791584934186202,0.061111688870229275,0.2848256760831853,binomial_cluster,477,-1.0695416403712534,0.5696513521663706,False
full,Motivation,risk,bcrt_core3,bcrt_core3_total,0.05521865303218067,0.06476728901577775,-0.07172523343874372,0.18216253950310507,0.39389775845695796,binomial_cluster,477,0.8525700839312425,0.39389775845695796,False
full,Motivation,risk,bcrt_core4,bcrt_core4_total,0.08812407737890608,0.05160782347443351,-0.0130272566309836,0.18927541138879578,0.08771577659442575,binomial_cluster,477,1.7075720587705603,0.08771577659442575,False
full,Motivation,risk,crt2_plus_core3,crt2_plus_core3_total,-0.009674364607928095,0.04189869067466844,-0.09179579833027823,0.07244706911442206,0.8173932893282557,binomial_cluster,477,-0.2308989720716291,0.8173932893282557,False
full,Motivation,risk,crt2_plus_core4,crt2_plus_core4_total,0.015552380625191334,0.03765041013021818,-0.0582424232300363,0.08934718448041896,0.6795528821636135,binomial_cluster,477,0.41307333894641984,0.6795528821636135,False
naive,FunctionAnalytic,article,crt2_total,crt2_total,-0.013148397267694312,0.026258918245007735,-0.06461587702790947,0.03831908249252085,0.6165673442984698,binomial_cluster,103,-0.5007212081249404,0.7810650603129848,False
naive,FunctionAnalytic,article,bcrt_core3,bcrt_core3_total,-0.06502493075034876,0.023266025884605437,-0.11062634148417541,-0.01942352001652211,0.005192464114643196,binomial_cluster,103,-2.7948447694874345,0.03634724880250237,True
naive,FunctionAnalytic,article,bcrt_core4,bcrt_core4_total,-0.04849603828838104,0.020306840618576086,-0.08829744590079017,-0.008694630675971912,0.016932846018312676,binomial_cluster,103,-2.388162649192131,0.05926496106409437,False
naive,FunctionAnalytic,article,crt2_plus_core3,crt2_plus_core3_total,-0.024525539973030676,0.012543535058784474,-0.049110868688248245,5.9788742186893395e-05,0.05055551604192596,binomial_cluster,103,-1.9552335014087578,0.17694430614674084,False
naive,FunctionAnalytic,article,crt2_plus_core4,crt2_plus_core4_total,-0.02110527239442216,0.010924305163494123,-0.04251691051487064,0.0003063657260263218,0.053364987891173915,binomial_cluster,103,-1.9319555869740705,0.1867774576191087,False
naive,FunctionAnalytic,prep,crt2_total,crt2_total,-0.008609426887682622,0.027701660675974703,-0.06290468181259304,0.04568582803722779,0.7559595102973878,binomial_cluster,103,-0.31079100232967144,0.7810650603129848,False
naive,FunctionAnalytic,prep,bcrt_core3,bcrt_core3_total,-0.014252052284313067,0.026792435253829072,-0.06676522538181805,0.03826112081319191,0.5947653735040261,binomial_cluster,103,-0.5319431454920179,0.6938929357546971,False
naive,FunctionAnalytic,prep,bcrt_core4,bcrt_core4_total,-0.02571831690644223,0.02278577649939688,-0.07037843884526011,0.018941805032375653,0.2590242061110454,binomial_cluster,103,-1.1287004815097248,0.6043898142591059,False
naive,FunctionAnalytic,prep,crt2_plus_core3,crt2_plus_core3_total,-0.0074933447726348865,0.016578293392246278,-0.03998679982143759,0.025000110276167817,0.6512708875220452,binomial_cluster,103,-0.4519973555383902,0.7598160354423861,False
