dataset,family,outcome,set,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,r2,n,p_adj,sig_raw,sig_adj
full,FunctionAnalytic,prep_Q1,crt2_plus_core3,seen_count,0.04532968462337192,0.056157665557682514,-0.0647393398696858,0.15539870911642964,0.050864423162151395,0.4195592976128143,0.004311425557723236,237,0.8488155521161935,False,False
full,FunctionAnalytic,prep_Q1,crt2_plus_core4,crt2_plus_core4_total,0.0001527834722042264,0.10594719003403023,-0.20750370899449502,0.2078092759389035,8.583522036047762e-05,0.9988493934447222,0.003148495006343288,237,0.9988493934447222,False,False
full,FunctionAnalytic,prep_Q1,crt2_plus_core4,seen_count,0.050240103365173455,0.05669508978141013,-0.0608822726063904,0.1613624793367373,0.05637440230411025,0.3755390828274059,0.003148495006343288,237,0.8759521919723885,False,False
full,FunctionAnalytic,prep_Q2,crt2_total,crt2_total,0.2368894635216356,0.18523731688114797,-0.12617567756541442,0.5999546046086857,0.07901603937389026,0.20095231497505783,0.006605027205533132,240,0.605343119268776,False,False
full,FunctionAnalytic,prep_Q2,crt2_total,seen_count,-0.01813674466248695,0.05727320881052334,-0.1303922339311127,0.0941187446061388,-0.02050361587747578,0.7514935160626521,0.006605027205533132,240,0.9433023190646359,False,False
full,FunctionAnalytic,prep_Q2,bcrt_core3,bcrt_core3_total,0.28283074788870055,0.219260092553171,-0.1469190335155146,0.7125805292929157,0.09141229462202972,0.1970740502074061,0.00834744182576097,240,0.5518073405807371,False,False
full,FunctionAnalytic,prep_Q2,bcrt_core3,seen_count,-0.03393431749427736,0.058725058714050905,-0.14903543257381713,0.0811667975852624,-0.03836279464230838,0.5633649082713331,0.00834744182576097,240,0.7170098832544239,False,False
full,FunctionAnalytic,prep_Q2,bcrt_core4,bcrt_core4_total,0.14045694121992602,0.1723457303442627,-0.19734069025482887,0.4782545726946809,0.05362919823639483,0.41508834874083056,0.0030737073197860676,240,0.7264046102964534,False,False
full,FunctionAnalytic,prep_Q2,bcrt_core4,seen_count,-0.028260830223013844,0.058884468991080484,-0.1436743894455316,0.08715272899950391,-0.03194890913746694,0.6312722532550548,0.0030737073197860676,240,0.7364842954642304,False,False
full,FunctionAnalytic,prep_Q2,crt2_plus_core3,crt2_plus_core3_total,0.21312338584057555,0.12694732731345126,-0.035693375693788915,0.46194014737494005,0.10900507498044569,0.09318455915265154,0.01199499978575902,240,0.6016213638286084,False,False
